frame,steering
391,LEFT TURN
392,LEFT TURN
393,LEFT TURN
394,LEFT TURN
395,NONE
396,LEFT TURN
397,LEFT TURN
398,RIGHT TURN
399,NONE
400,LEFT TURN
401,LEFT TURN
402,LEFT TURN
403,LEFT TURN
404,LEFT TURN
405,LEFT TURN
406,LEFT TURN
407,LEFT TURN
408,LEFT TURN
409,NONE
410,LEFT TURN
411,NONE
412,NONE
413,NONE
414,NONE
415,NONE
416,NONE
417,NONE
418,NONE
419,NONE
420,NONE
421,NONE
422,NONE
423,NONE
424,NONE
425,RIGHT TURN
426,RIGHT TURN
427,RIGHT TURN
428,RIGHT TURN
429,RIGHT TURN
430,RIGHT TURN
431,RIGHT TURN
432,RIGHT TURN
433,NONE
434,RIGHT TURN
435,RIGHT TURN
436,RIGHT TURN
437,RIGHT TURN
438,RIGHT TURN
439,RIGHT TURN
440,RIGHT TURN
441,RIGHT TURN
442,RIGHT TURN
443,NONE
444,NONE
445,NONE
446,NONE
447,RIGHT TURN
448,NONE
449,RIGHT TURN
450,NONE
451,NONE
452,NONE
453,NONE
454,NONE
455,NONE
456,NONE
457,NONE
458,NONE
459,NONE
460,NONE
461,NONE
462,NONE
463,NONE
464,NONE
465,NONE
466,LEFT TURN
467,LEFT TURN
468,LEFT TURN
469,LEFT TURN
470,LEFT TURN
471,NONE
472,NONE
473,NONE
474,NONE
475,NONE
476,NONE
477,NONE
478,NONE
479,NONE
480,NONE
481,NONE
482,NONE
483,NONE
484,NONE
485,NONE
486,NONE
487,NONE
488,NONE
489,NONE
490,NONE
491,NONE
492,NONE
493,NONE
494,NONE
495,NONE
496,NONE
497,NONE
498,NONE
499,NONE
500,NONE
501,NONE
502,NONE
503,NONE
504,NONE
505,NONE
506,NONE
507,NONE
508,NONE
509,NONE
510,LEFT TURN
511,LEFT TURN
512,LEFT TURN
513,NONE
514,NONE
515,NONE
516,NONE
517,NONE
518,NONE
519,NONE
520,NONE
521,NONE
522,NONE
523,NONE
524,NONE
525,NONE
526,NONE
527,NONE
528,NONE
529,NONE
530,NONE
531,NONE
532,NONE
533,NONE
534,NONE
535,NONE
536,NONE
537,NONE
538,NONE
539,NONE
